#Species Name	Rabbit
Sigmodon_hispidus	0
Sigmodon_inopinatus	0
Sigmodon_leucotis	0
Sigmodon_mascotensis	0
Sigmodon_ochrognathus	0
Sigmodon_peruanus	0
Nyctomys_sumichrasti	0
Otonyctomys_hatti	0
Ototylomys_phyllotis	0
Tylomys_bullaris	0
Tylomys_fulviventer	0
Tylomys_mirae	0
Tylomys_nudicaudus	0
Tylomys_panamensis	0
Tylomys_tumbalensis	0
Tylomys_watsoni	0
Baiomys_musculus	0
Baiomys_taylori	0
Scotinomys_teguina	0
Scotinomys_xerampelinus	0
Ochrotomys_nuttalli	0
Habromys_chinanteco	0
Habromys_lepturus	0
Habromys_lophurus	0
Habromys_simulatus	0
Neotomodon_alstoni	0
Podomys_floridanus	0
Osgoodomys_banderanus	0
Megadontomys_cryophilus	0
Megadontomys_nelsoni	0
Megadontomys_thomasi	0
Peromyscus_attwateri	0
Peromyscus_aztecus	0
Peromyscus_boylii	0
Peromyscus_bullatus	0
Peromyscus_californicus	0
Peromyscus_caniceps	0
Peromyscus_crinitus	0
Peromyscus_dickeyi	0
Peromyscus_difficilis	0
Peromyscus_eremicus	0
Peromyscus_eva	0
Peromyscus_furvus	0
Peromyscus_gossypinus	0
Peromyscus_grandis	0
Peromyscus_gratus	0
Peromyscus_guardia	0
Peromyscus_guatemalensis	0
Peromyscus_gymnotis	0
Peromyscus_hooperi	0
Peromyscus_interparietalis	0
Peromyscus_leucopus	0
Peromyscus_levipes	0
Peromyscus_madrensis	0
Peromyscus_maniculatus	0
Peromyscus_mayensis	0
Peromyscus_megalops	0
Peromyscus_mekisturus	0
Peromyscus_melanocarpus	0
Peromyscus_melanophrys	0
Peromyscus_melanotis	0
Peromyscus_melanurus	0
Peromyscus_merriami	0
Peromyscus_mexicanus	0
Peromyscus_nasutus	0
Peromyscus_ochraventer	0
Peromyscus_oreas	0
Peromyscus_pectoralis	0
Peromyscus_perfulvus	0
Peromyscus_polionotus	0
Peromyscus_polius	0
Peromyscus_pseudocrinitus	0
Peromyscus_sejugis	0
Peromyscus_simulus	0
Peromyscus_sitkensis	0
Peromyscus_slevini	0
Peromyscus_spicilegus	0
Peromyscus_stephani	0
Peromyscus_stirtoni	0
Peromyscus_truei	0
Peromyscus_winkelmanni	0
Peromyscus_yucatanicus	0
Peromyscus_zarhynchus	0
Onychomys_arenicola	0
Onychomys_leucogaster	0
Onychomys_torridus	0
Isthmomys_flavidus	0
Isthmomys_pirrensis	0
Reithrodontomys_brevirostris	0
Reithrodontomys_darienensis	0
Reithrodontomys_gracilis	0
Reithrodontomys_mexicanus	0
Reithrodontomys_paradoxus	0
Reithrodontomys_spectabilis	0
Reithrodontomys_creper	0
Reithrodontomys_microdon	0
Reithrodontomys_rodriguezi	0
Reithrodontomys_tenuirostris	0
Reithrodontomys_fulvescens	0
Reithrodontomys_hirsutus	0
Reithrodontomys_burti	0
Reithrodontomys_chrysopsis	0
Reithrodontomys_humulis	0
Reithrodontomys_megalotis	0
Reithrodontomys_montanus	0
Reithrodontomys_raviventris	0
Reithrodontomys_sumichrasti	0
Reithrodontomys_zacatecae	0
Hodomys_alleni	0
Xenomys_nelsoni	0
Neotoma_albigula	0
Neotoma_angustapalata	0
Neotoma_anthonyi	0
Neotoma_bryanti	0
Neotoma_bunkeri	0
Neotoma_chrysomelas	0
Neotoma_devia	0
Neotoma_floridana	0
Neotoma_goldmani	0
Neotoma_lepida	0
Neotoma_martinensis	0
Neotoma_mexicana	0
Neotoma_micropus	0
Neotoma_nelsoni	0
Neotoma_palatina	0
Neotoma_stephensi	0
Neotoma_varia	0
Neotoma_phenax	0
Neotoma_cinerea	0
Neotoma_fuscipes	0
Nelsonia_goldmani	0
Nelsonia_neotomodon	0
Allocricetulus_curtatus	0
Allocricetulus_eversmanni	0
Cricetus_cricetus	0
Cansumys_canus	0
Cricetulus_alticola	0
Cricetulus_barabensis	0
Cricetulus_kamensis	0
Cricetulus_longicaudatus	0
Cricetulus_migratorius	0
Cricetulus_sokolovi	0
Mesocricetus_auratus	0
Mesocricetus_brandti	0
Mesocricetus_newtoni	0
Mesocricetus_raddei	0
Phodopus_campbelli	0
Phodopus_roborovskii	0
Phodopus_sungorus	0
Tscherskia_triton	0
Alticola_albicauda	0
Alticola_argentatus	0
Alticola_barakshin	0
Alticola_macrotis	0
Alticola_montosa	0
Alticola_roylei	0
Alticola_semicanus	0
Alticola_stoliczkanus	0
Alticola_stracheyi	0
Alticola_tuvinicus	0
Alticola_lemminus	0
Alticola_strelzowi	0
Clethrionomys_californicus	0
Clethrionomys_centralis	0
Clethrionomys_gapperi	0
